date,split,model,mean_wis,state_count,row_count
2022-06-13,train,catboost,0.2586381103879519,23,23
2022-06-20,train,catboost,0.20691135891321163,25,25
2022-06-27,train,catboost,0.1808541435564901,24,24
2022-07-04,train,catboost,0.29382544223147533,21,21
2022-07-11,train,catboost,0.25905078002861565,25,25
2022-07-18,train,catboost,0.2533064843620856,22,22
2022-07-25,train,catboost,0.20324818581289059,25,25
2022-08-01,train,catboost,0.9320633164023009,25,25
2022-08-08,train,catboost,0.2517327277789397,25,25
2022-08-15,train,catboost,0.32023673662960195,25,25
2022-08-22,train,catboost,0.19493765212182151,25,25
2022-08-29,train,catboost,0.2509280603672274,25,25
2022-09-05,train,catboost,0.24024543734731751,24,24
2022-09-12,train,catboost,0.21330243966250625,24,24
2022-09-19,train,catboost,0.35513571463081445,24,24
2022-09-26,train,catboost,0.19764365543519147,25,25
2022-10-03,train,catboost,0.25340376229520223,25,25
2022-10-10,train,catboost,0.23330284948840782,25,25
2022-10-17,train,catboost,0.23178499773887892,25,25
2022-10-24,train,catboost,0.19214932722342637,24,24
2022-10-31,train,catboost,0.2422316070929414,25,25
2022-11-07,train,catboost,0.2931377120713146,25,25
2022-11-14,train,catboost,0.37131769880440835,25,25
2022-11-21,train,catboost,0.41583147787371716,25,25
2022-11-28,train,catboost,0.23186816661361628,25,25
2022-12-05,train,catboost,0.17828075875819707,25,25
2022-12-12,train,catboost,0.23792671992456318,23,23
2022-12-19,train,catboost,0.2611949185383763,22,22
2022-12-26,train,catboost,0.31305362867844005,17,17
2023-01-02,train,catboost,0.3271855334549403,23,23
2023-01-09,train,catboost,0.28244644272290903,24,24
2023-01-16,train,catboost,0.21240347825565842,24,24
2023-01-23,train,catboost,0.25291376043507346,25,25
2023-01-30,train,catboost,0.19499272041011748,24,24
2023-02-06,train,catboost,0.17249354814153664,24,24
2023-02-13,train,catboost,0.17010283220467026,24,24
2023-02-20,train,catboost,0.24253636424094346,25,25
2023-02-27,train,catboost,0.309352799388217,25,25
2023-03-06,train,catboost,0.2950102199904466,25,25
2023-03-13,train,catboost,0.302160204499814,25,25
2023-03-20,train,catboost,0.1649130865347708,24,24
2023-03-27,train,catboost,0.23671327064825542,25,25
2023-04-03,train,catboost,0.22313658547477128,25,25
2023-04-10,train,catboost,0.2581760948863868,25,25
2023-04-17,train,catboost,0.22255857883249391,25,25
2023-04-24,train,catboost,0.1581297846334764,25,25
2023-05-01,train,catboost,0.16930945743497397,24,24
2023-05-08,train,catboost,0.2320485492327453,24,24
2023-05-15,train,catboost,0.1980361841974358,25,25
2023-05-22,train,catboost,0.24426014944286967,25,25
2023-05-29,train,catboost,0.35717539666723747,25,25
2023-06-05,train,catboost,0.20823762373365337,25,25
2023-06-12,train,catboost,0.4048108409285965,24,24
2023-06-19,train,catboost,0.2617118560886129,24,24
2023-06-26,train,catboost,0.24677168950692197,22,22
2023-07-03,train,catboost,0.3142384995854102,25,25
2023-07-10,train,catboost,0.29654106520711343,25,25
2023-07-17,train,catboost,0.25109764820562797,25,25
2023-07-24,train,catboost,0.3395202709780791,25,25
2023-07-31,train,catboost,0.315082848667361,24,24
2023-08-07,train,catboost,0.3183940112583215,24,24
2023-08-14,train,catboost,0.23458315068459368,23,23
2023-08-21,train,catboost,0.19085011789312512,25,25
2023-08-28,train,catboost,0.21027401937751455,25,25
2023-09-04,train,catboost,0.25406524912995165,24,24
2023-09-11,train,catboost,0.23223327840709415,23,23
2023-09-18,train,catboost,0.26873982224088455,25,25
2023-09-25,train,catboost,0.2580604793720377,24,24
2023-10-02,train,catboost,0.2202643695121661,25,25
2023-10-09,train,catboost,0.2315373258078356,25,25
2023-10-16,train,catboost,0.2814686105136312,24,24
2023-10-23,train,catboost,0.20467602602547152,24,24
2023-10-30,train,catboost,0.25053833108157947,25,25
2023-11-06,train,catboost,0.21042356605256946,23,23
2023-11-13,train,catboost,0.21608846529711667,25,25
2023-11-20,train,catboost,0.5609176914289512,24,24
2023-11-27,train,catboost,0.297470218843877,25,25
2023-12-04,train,catboost,1.0578517747900156,24,24
2023-12-11,train,catboost,0.408471342120334,23,23
2023-12-18,train,catboost,0.23567165643224086,22,22
2023-12-25,train,catboost,0.5852299675857596,15,15
2024-01-01,train,catboost,0.3135249750098833,21,21
2024-01-08,train,catboost,0.3744972816634663,23,23
2024-01-15,train,catboost,0.29392892742128396,24,24
2024-01-22,train,catboost,0.28380399817810714,24,24
2024-01-29,train,catboost,0.7960647410810485,25,25
2024-02-05,train,catboost,0.20105628931950809,25,25
2024-02-12,train,catboost,0.21146108892982332,23,23
2024-02-19,train,catboost,0.200869144114656,25,25
2024-02-26,train,catboost,0.1814616706826705,22,22
2024-03-04,train,catboost,0.2418544823512367,25,25
2024-03-11,train,catboost,0.29213203755694594,24,24
2024-03-18,train,catboost,0.24625001173805225,25,25
2024-03-25,train,catboost,0.20409235170800286,25,25
2024-04-01,train,catboost,0.39332951958359375,24,24
2024-04-08,train,catboost,0.2538680884650015,25,25
2024-04-15,train,catboost,0.1705240784758508,25,25
2024-04-22,train,catboost,0.23264175364332854,24,24
2024-04-29,train,catboost,0.3150667909283269,25,25
2024-05-06,train,catboost,0.17156609092524266,25,25
2024-05-13,train,catboost,0.22885922638805847,24,24
2024-05-20,train,catboost,0.2456859683125433,24,24
2024-05-27,train,catboost,0.26637811025888986,24,24
