date,state,split,model,mean_wis,row_count
2025-10-20,Alabama,train,ensemble_dl,0.3082087305201538,1
2025-10-27,Alabama,train,ensemble_dl,0.6912362370251032,1
2025-11-03,Alabama,train,ensemble_dl,0.19624961472362878,1
2025-11-10,Alabama,train,ensemble_dl,0.2934186252931268,1
2025-11-17,Alabama,train,ensemble_dl,0.17882841728115947,1
2025-11-24,Alabama,train,ensemble_dl,0.5217547148946801,1
2025-12-01,Alabama,train,ensemble_dl,1.1173380578226229,1
2025-12-08,Alabama,train,ensemble_dl,0.37885484465728014,1
2025-12-15,Alabama,train,ensemble_dl,0.38816898934369065,1
2025-12-22,Alabama,train,ensemble_dl,0.47237511068404703,1
2025-12-29,Alabama,train,ensemble_dl,1.107215563186135,1
2026-01-05,Alabama,train,ensemble_dl,1.2303516128145604,1
2026-01-12,Alabama,train,ensemble_dl,0.4965901826331749,1
2026-01-19,Alabama,train,ensemble_dl,0.42748790118031055,1
2026-01-26,Alabama,train,ensemble_dl,0.1691060045574967,1
2026-02-02,Alabama,train,ensemble_dl,0.24166899154624,1
2026-02-09,Alabama,train,ensemble_dl,0.5720376745318606,1
2026-02-16,Alabama,train,ensemble_dl,0.3897203866350316,1
2026-02-23,Alabama,train,ensemble_dl,0.24691871391200126,1
2026-03-02,Alabama,train,ensemble_dl,0.306025237813373,1
2026-03-09,Alabama,train,ensemble_dl,0.21792544693924196,1
2026-03-16,Alabama,train,ensemble_dl,0.20982627860783384,1
2026-03-23,Alabama,train,ensemble_dl,0.15377550772637372,1
2026-03-30,Alabama,train,ensemble_dl,0.2021463870749087,1
2026-04-06,Alabama,train,ensemble_dl,0.12437609612707111,1
2026-04-13,Alabama,train,ensemble_dl,0.3866655721503108,1
2026-04-20,Alabama,train,ensemble_dl,0.2582987582567395,1
2026-04-27,Alabama,train,ensemble_dl,0.49976766998358185,1
2022-01-03,Alabama,train,ensemble_tree,0.8161753379743848,1
2022-01-10,Alabama,train,ensemble_tree,1.0705209119976082,1
2022-01-17,Alabama,train,ensemble_tree,0.915541164228113,1
2022-01-24,Alabama,train,ensemble_tree,0.7134964234034604,1
2022-01-31,Alabama,train,ensemble_tree,0.7322187846404683,1
2022-02-07,Alabama,train,ensemble_tree,0.22195706687591313,1
2022-02-14,Alabama,train,ensemble_tree,0.3628312659679978,1
2022-02-21,Alabama,train,ensemble_tree,2.2880635996404712,1
2022-02-28,Alabama,train,ensemble_tree,0.769034222099592,1
2022-03-07,Alabama,train,ensemble_tree,0.8894088245857178,1
2022-03-14,Alabama,train,ensemble_tree,0.46243903946360926,1
2022-03-21,Alabama,train,ensemble_tree,0.5729131587965458,1
2022-03-28,Alabama,train,ensemble_tree,0.20631176873914447,1
2022-04-04,Alabama,train,ensemble_tree,0.5845092736814365,1
2022-04-11,Alabama,train,ensemble_tree,0.6642435668661273,1
2022-04-18,Alabama,train,ensemble_tree,0.10665518851412854,1
2022-04-25,Alabama,train,ensemble_tree,0.13735363758562524,1
2022-05-02,Alabama,train,ensemble_tree,0.1549848829427598,1
