date,state,week,year,month,quarter,holiday,cases_per_100k,lagged1,lagged2,lagged4,lagged6,lagged8,lagged12,rolling_mean_2,rolling_mean_4,rolling_mean_6,rolling_mean_8,rolling_mean_12,rolling_std_2,rolling_std_4,rolling_std_6,rolling_std_8,rolling_std_12,rolling_median_4,rolling_median_6,rolling_median_12,rolling_median_2,rolling_median_8,rolling_max_4,rolling_max_6,rolling_max_12,rolling_max_8,rolling_max_2,rolling_min_4,rolling_min_6,rolling_min_12,rolling_min_2,rolling_min_8,expanding_mean,expanding_std,expanding_median,expanding_max,expanding_min,ewm_mean,ewm_std
2022-08-22,Pennsylvania,34,0,8,3,0,6.514383521790422,7.2636905465973,6.659657332722368,5.48982085521775,6.139730009386982,6.124438029288883,4.641115959773224,6.961673939659834,6.522029511839471,6.5717284471582955,5.710598817884063,5.672050284720103,0.4271159815928691,0.7433800472382669,0.6711550591538663,2.330421784223148,1.9876414781524978,6.667303322771417,6.667303322771417,6.399693671054675,6.961673939659834,6.399693671054675,7.2636905465973,7.2636905465973,7.2636905465973,7.2636905465973,7.2636905465973,5.48982085521775,5.48982085521775,0.12998183083384643,6.659657332722368,0.12998183083384643,6.38556017429734,1.3597773349969384,6.736117233212865,7.378380397333047,0.12998183083384643,6.337841782787242,1.6154060335644003
2022-08-29,Pennsylvania,35,0,8,3,0,5.948580258160737,6.514383521790422,7.2636905465973,6.674949312820467,7.202522626204903,0.12998183083384643,6.827869113801463,6.889037034193861,6.77817017848264,6.634170699225535,5.759342004446754,5.828155914888203,0.5298400784316603,0.3316691473046024,0.6396119367723475,2.344350644729946,1.9728193298164625,6.667303322771417,6.667303322771417,6.587020427256395,6.889037034193861,6.587020427256395,7.2636905465973,7.2636905465973,7.2636905465973,7.2636905465973,7.2636905465973,6.514383521790422,5.48982085521775,0.12998183083384643,6.514383521790422,0.12998183083384643,6.389349096282431,1.3391984054008492,6.713179263065716,7.378380397333047,0.12998183083384643,6.381977217538037,1.4014172324678864
2022-09-05,Pennsylvania,36,0,9,3,1,5.520404815413949,5.948580258160737,6.514383521790422,6.659657332722368,5.48982085521775,6.139730009386982,4.243524477222635,6.23148188997558,6.596577914817707,6.425180304551507,6.486666807862616,5.754881843584809,0.4000833245300305,0.5402700428863092,0.6213639155745364,0.607802107505651,1.9484918096997943,6.587020427256395,6.587020427256395,6.3270567655887024,6.23148188997558,6.587020427256395,7.2636905465973,7.2636905465973,7.2636905465973,7.2636905465973,6.514383521790422,5.948580258160737,5.48982085521775,0.12998183083384643,5.948580258160737,5.48982085521775,6.376755700907526,1.3214592487801196,6.690241292918567,7.378380397333047,0.12998183083384643,6.273627977693712,1.2304739506705609
2022-09-12,Pennsylvania,37,0,9,3,0,6.904329014291961,5.520404815413949,5.948580258160737,7.2636905465973,6.674949312820467,7.202522626204903,6.667303322771418,5.734492536787343,6.311764785490602,6.430277631250874,6.409251158615987,5.861288538434086,0.3027657591038062,0.7539607881249162,0.6122141892736358,0.6919243814119642,1.892514763447078,6.23148188997558,6.587020427256395,6.3270567655887024,5.734492536787343,6.587020427256395,7.2636905465973,7.2636905465973,7.2636905465973,7.2636905465973,5.948580258160737,5.520404815413949,5.520404815413949,0.12998183083384643,5.520404815413949,5.48982085521775,6.3529681763104815,1.310241209436261,6.682595302869517,7.378380397333047,0.12998183083384643,6.085322187123771,1.1223441333937756
2022-09-19,Pennsylvania,38,0,9,3,0,0.19879574127529456,6.904329014291961,5.520404815413949,6.514383521790422,6.659657332722368,5.48982085521775,6.124438029288883,6.2123669148529554,6.221924402414267,6.468507581496123,6.371976957126869,5.881040679394132,0.9785821856748024,0.6104793589087751,0.6372004982996209,0.6498376698687519,1.9029003046869377,6.23148188997558,6.587020427256395,6.3270567655887024,6.2123669148529554,6.587020427256395,6.904329014291961,7.2636905465973,7.2636905465973,7.2636905465973,6.904329014291961,5.520404815413949,5.520404815413949,0.12998183083384643,5.520404815413949,5.48982085521775,6.3678698205802515,1.2950911972635428,6.690241292918567,7.378380397333047,0.12998183083384643,6.290073893915819,1.0447361771032895
2022-09-26,Pennsylvania,39,0,9,3,0,5.329255064187704,0.19879574127529456,6.904329014291961,5.948580258160737,7.2636905465973,6.674949312820467,0.12998183083384643,3.551562377783628,4.643027457285486,5.391697316254944,5.710598817884063,5.387237155392999,4.74152804882211,3.018771241291203,2.6209062792555233,2.292429203497091,2.506970056179809,5.734492536787343,6.23148188997558,6.3270567655887024,3.551562377783628,6.587020427256395,6.904329014291961,7.2636905465973,7.2636905465973,7.2636905465973,6.904329014291961,0.19879574127529456,0.19879574127529456,0.12998183083384643,0.19879574127529456,0.19879574127529456,6.2055257658617,1.6227884412608344,6.682595302869517,7.378380397333047,0.12998183083384643,4.767254355755688,2.9891525512040062
2022-10-03,Pennsylvania,40,0,10,4,0,5.788014467130692,5.329255064187704,0.19879574127529456,5.520404815413949,6.514383521790422,6.659657332722368,6.139730009386982,2.7640254027314994,4.488196158792227,5.069291402520011,5.542387036804968,5.820509924839153,3.627782577833108,2.9444574322144987,2.4585205130050567,2.2607113648575585,1.8888623885285756,5.424829939800826,5.734492536787343,6.3270567655887024,2.7640254027314994,6.23148188997558,6.904329014291961,6.904329014291961,7.2636905465973,7.2636905465973,5.329255064187704,0.19879574127529456,0.19879574127529456,0.19879574127529456,0.19879574127529456,0.19879574127529456,6.183057286331597,1.6074295261674794,6.674949312820467,7.378380397333047,0.12998183083384643,4.9077545328636925,2.6019926553161143
2022-10-10,Pennsylvania,41,0,10,4,1,5.642740656198746,5.788014467130692,5.329255064187704,6.904329014291961,5.948580258160737,7.2636905465973,7.202522626204903,5.558634765659198,4.555098571721413,4.948229893410057,5.4334316786060075,5.791200296317796,0.3243918847540786,2.978571128513002,2.390060745706321,2.2198063263691603,1.8861856216203516,5.558634765659198,5.65420964127232,6.23148188997558,5.558634765659198,5.868297362645714,6.904329014291961,6.904329014291961,7.2636905465973,7.2636905465973,5.788014467130692,0.19879574127529456,0.19879574127529456,0.19879574127529456,5.329255064187704,0.19879574127529456,6.173181215851575,1.5879165939060658,6.671126317795943,7.378380397333047,0.12998183083384643,5.127819516430442,2.2906930004984227
2022-10-17,Pennsylvania,42,0,10,4,0,6.20089792977938,5.642740656198746,5.788014467130692,0.19879574127529456,5.520404815413949,6.514383521790422,5.48982085521775,5.715377561664718,4.239701482198109,4.89725662641639,5.230812942306188,5.661218465483949,0.10272409683879112,2.700730656577991,2.367615109958362,2.099602302204671,1.833082957529204,5.485997860193224,5.581572735806347,5.868297362645714,5.715377561664718,5.715377561664718,5.788014467130692,6.904329014291961,7.2636905465973,6.904329014291961,5.788014467130692,0.19879574127529456,0.19879574127529456,0.19879574127529456,5.642740656198746,0.19879574127529456,6.160243641225896,1.5701288946443794,6.667303322771418,7.378380397333047,0.12998183083384643,5.256549801372518,1.9983633349594085
2022-10-24,Pennsylvania,43,0,10,4,0,5.635094666149696,6.20089792977938,5.642740656198746,5.329255064187704,6.904329014291961,5.948580258160737,6.674949312820467,5.921819292989063,5.740227029324131,5.0106721454772964,5.191627243304808,5.720474888364085,0.3946767931174611,0.3618944905224897,2.41917320781773,2.0750055452702374,1.8385237487172543,5.715377561664718,5.715377561664718,6.0747390939700585,5.921819292989063,5.715377561664718,6.20089792977938,6.904329014291961,7.2636905465973,6.904329014291961,6.20089792977938,5.329255064187704,0.19879574127529456,0.19879574127529456,5.642740656198746,0.19879574127529456,6.161211600477169,1.5508754667761226,6.663480327746893,7.378380397333047,0.12998183083384643,5.492636833474234,1.786105208912462
